cycle,pc,target,jump_double_b_predictor,jump_streak,is_taken
79209,2147494668,2147494628,2,1,1
79219,2147494656,2147494660,1,0,0
79220,2147494660,2147494664,0,-1,0
79222,2147494668,2147494628,1,0,1
79223,2147494668,2147494628,2,1,1
79233,2147494656,2147494660,1,0,0
79234,2147494660,2147494664,0,-1,0
79236,2147494668,2147494628,1,0,1
79237,2147494668,2147494628,2,1,1
79247,2147494656,2147494660,1,0,0
79248,2147494660,2147494664,0,-1,0
79250,2147494668,2147494628,1,0,1
79251,2147494668,2147494628,2,1,1
79261,2147494656,2147494660,1,0,0
79262,2147494660,2147494664,0,-1,0
79264,2147494668,2147494628,1,0,1
79265,2147494668,2147494628,2,1,1
79275,2147494656,2147494660,1,0,0
79276,2147494660,2147494664,0,-1,0
79278,2147494668,2147494628,1,0,1
79279,2147494668,2147494628,2,1,1
79289,2147494656,2147494660,1,0,0
79290,2147494660,2147494664,0,-1,0
79292,2147494668,2147494628,1,0,1
79293,2147494668,2147494628,2,1,1
79303,2147494656,2147494660,1,0,0
79304,2147494660,2147494664,0,-1,0
79306,2147494668,2147494628,1,0,1
79307,2147494668,2147494628,2,1,1
79317,2147494656,2147494660,1,0,0
79318,2147494660,2147494664,0,-1,0
79320,2147494668,2147494628,1,0,1
79321,2147494668,2147494628,2,1,1
79331,2147494656,2147494660,1,0,0
79332,2147494660,2147494664,0,-1,0
79334,2147494668,2147494628,1,0,1
79335,2147494668,2147494628,2,1,1
79345,2147494656,2147494660,1,0,0
79346,2147494660,2147494664,0,-1,0
79348,2147494668,2147494628,1,0,1
79349,2147494668,2147494628,2,1,1
79359,2147494656,2147494660,1,0,0
79360,2147494660,2147494664,0,-1,0
79362,2147494668,2147494628,1,0,1
79363,2147494668,2147494628,2,1,1
79373,2147494656,2147494660,1,0,0
79374,2147494660,2147494664,0,-1,0
79376,2147494668,2147494628,1,0,1
79377,2147494668,2147494628,2,1,1
79387,2147494656,2147494660,1,0,0
79388,2147494660,2147494664,0,-1,0
79390,2147494668,2147494628,1,0,1
79391,2147494668,2147494628,2,1,1
79401,2147494656,2147494660,1,0,0
79402,2147494660,2147494664,0,-1,0
79404,2147494668,2147494628,1,0,1
79405,2147494668,2147494628,2,1,1
79415,2147494656,2147494660,1,0,0
79416,2147494660,2147494664,0,-1,0
79418,2147494668,2147494628,1,0,1
79419,2147494668,2147494628,2,1,1
79429,2147494656,2147494660,1,0,0
79430,2147494660,2147494664,0,-1,0
79432,2147494668,2147494628,1,0,1
79433,2147494668,2147494628,2,1,1
79443,2147494656,2147494660,1,0,0
79444,2147494660,2147494664,0,-1,0
79446,2147494668,2147494628,1,0,1
79447,2147494668,2147494628,2,1,1
79457,2147494656,2147494660,1,0,0
79458,2147494660,2147494664,0,-1,0
79460,2147494668,2147494628,1,0,1
79461,2147494668,2147494628,2,1,1
79471,2147494656,2147494660,1,0,0
79472,2147494660,2147494664,0,-1,0
79474,2147494668,2147494628,1,0,1
79475,2147494668,2147494628,2,1,1
79485,2147494656,2147494660,1,0,0
79486,2147494660,2147494664,0,-1,0
79488,2147494668,2147494628,1,0,1
79489,2147494668,2147494628,2,1,1
79499,2147494656,2147494660,1,0,0
